,JobAds
26,"Stellenangebot: Mechaniker / Mechanikerin für die Instandhaltung (m/w/d)

Wir suchen einen hochmotivierten Mechaniker oder eine Mechanikerin für die Instandhaltung, um unser Team zu verstärken. Als führendes Unternehmen in der Automobilbranche sind wir ständig auf der Suche nach talentierten Fachkräften, die unsere Flotte in Top-Zustand halten.

Aufgaben:

- Durchführung von Inspektions-, Wartungs- und Reparaturarbeiten an Fahrzeugen
- Diagnose und Behebung technischer Probleme
- Kontrolle und Instandhaltung von Maschinen und Anlagen
- Gewährleistung der Sicherheit und Einhaltung von Qualitätsstandards

Anforderungen:

- Abgeschlossene Ausbildung als Kfz-Mechatroniker/in oder vergleichbare Qualifikation
- Erfahrung in der Instandhaltung von Fahrzeugen und technischen Anlagen
- Selbstständige und zuverlässige Arbeitsweise
- Teamfähigkeit und Flexibilität
- Bereitschaft zur Schichtarbeit

Wir bieten:

- Ein attraktives Gehaltspaket und leistungsbezogene Boni
- Weiterbildungsmöglichkeiten und Aufstiegschancen
- Ein dynamisches Arbeitsumfeld in einem renommierten Unternehmen
- Betriebliche Sozialleistungen und Mitarbeitervergünstigungen
- Modernste Arbeitsausstattung und ein motiviertes Team

Wenn Sie eine Leidenschaft für technische Herausforderungen haben und gerne in einem innovativen Unternehmen arbeiten möchten, freuen wir uns auf Ihre Bewerbung. Werden Sie Teil unseres Teams und tragen Sie aktiv zum Erfolg unseres Unternehmens bei.

Bewerben Sie sich jetzt und starten Sie Ihre Karriere als Mechaniker für die Instandhaltung bei uns!"
27,"Stellenanzeige: Elektriker (m/w/d) gesucht

Wir sind ein führendes Unternehmen im Bereich der Elektroinstallationen und suchen zur Verstärkung unseres Teams einen versierten Elektriker (m/w/d). Als Elektriker bei uns werden Sie in verschiedenen Projekten im blue collar Bereich eingesetzt, um elektrische Anlagen zu installieren, zu warten und zu reparieren. Sie werden in einem dynamischen Team arbeiten und Ihre Fähigkeiten und Erfahrungen in einem anspruchsvollen Umfeld weiterentwickeln können.

Ihr Aufgabenbereich umfasst unter anderem:

- Installation und Instandhaltung von elektrischen Anlagen
- Fehlersuche und Behebung von Störungen
- Montage von Schaltanlagen und Steuerungen
- Durchführung von Prüfungen und Messungen
- Zusammenarbeit mit anderen Gewerken und Bauleitern

Sie verfügen idealerweise über eine abgeschlossene Ausbildung als Elektriker und haben bereits Erfahrung im blue collar Bereich gesammelt. Sie sind zuverlässig, eigenständig und teamfähig. Flexibilität und Engagement zählen zu Ihren Stärken.

Wir bieten Ihnen eine langfristige Perspektive, ein attraktives Gehaltspaket und die Möglichkeit zur Weiterbildung und beruflichen Entwicklung. Ein sicherer Arbeitsplatz in einem renommierten Unternehmen sowie ein angenehmes Arbeitsklima erwarten Sie.

Wenn Sie bereit sind, sich neuen Herausforderungen zu stellen und Ihre Karriere als Elektriker (m/w/d) voranzutreiben, dann freuen wir uns auf Ihre Bewerbung. Bitte senden Sie Ihre vollständigen Unterlagen sowie Angaben zu Ihrer Verfügbarkeit per E-Mail an recruiting@unternehmen.de.

Hinweis: Bewerbungen von Kandidaten mit einer Ausbildung im blue collar Bereich werden bevorzugt behandelt."
28,"Stellenanzeige:

Unternehmen: XYZ GmbH

Position: Lagermitarbeiter/Kommissionierer (m/w/d)

Standort: Berlin

Die XYZ GmbH, ein führendes Unternehmen in der Logistikbranche, sucht engagierte Lagermitarbeiter/Kommissionierer (m/w/d) für unser Lager in Berlin. Wir bieten eine angenehme Arbeitsumgebung, ein motiviertes Team und attraktive Entwicklungsmöglichkeiten.

Ihre Aufgaben:

- Kommissionierung von Waren gemäß Bestellungen
- Verpackung und Versandvorbereitung der Produkte
- Durchführung von Wareneingangs- und Warenausgangskontrollen
- Einhaltung der Lagerordnung und Sicherstellung der Ordnung im Lagerbereich
- Unterstützung bei Inventuren und Bestandsführung

Ihr Profil:

- Erfahrung im Lager- oder Logistikbereich von Vorteil, aber nicht zwingend erforderlich
- Organisierte und eigenständige Arbeitsweise
- Teamfähigkeit und Zuverlässigkeit
- Bereitschaft zur Schichtarbeit
- Gute Deutschkenntnisse

Wir bieten:

- Eine gründliche Einarbeitung in Ihre Aufgaben
- Attraktive Vergütung und Sozialleistungen
- Ein sicherer Arbeitsplatz in einem wachsenden Unternehmen
- Fortbildungsmöglichkeiten und Aufstiegschancen
- Ein angenehmes Arbeitsklima und ein motiviertes Team

Wenn Sie auf der Suche nach einer neuen beruflichen Herausforderung sind und gerne in einem dynamischen Umfeld arbeiten möchten, freuen wir uns auf Ihre Bewerbung. Bitte senden Sie Ihren Lebenslauf und ein Anschreiben an bewerbung@xyz.de mit dem Betreff ""Bewerbung Lagermitarbeiter/Kommissionierer""."
29,"Stellenanzeige: Baumaschinenführer (m/w/d)

Unser erfolgreiches Bauunternehmen im Raum München sucht ab sofort einen erfahrenen Baumaschinenführer (m/w/d) zur Verstärkung unseres Teams. Wir sind spezialisiert auf den Hoch- und Tiefbau sowie auf den Straßenbau und legen großen Wert auf Qualität, Zuverlässigkeit und Teamwork.

Aufgaben:
- Bedienung und Wartung von Baumaschinen wie Baggern, Radladern und Walzen
- Durchführung von Erdarbeiten und Planierarbeiten auf Baustellen
- Unterstützung des Teams bei allen anfallenden Arbeiten im Bereich des Hoch- und Tiefbaus
- Einhaltung von Sicherheitsvorschriften und Qualitätsstandards

Anforderungen:
- Abgeschlossene Ausbildung zum Baumaschinenführer oder vergleichbare Qualifikation
- Berufserfahrung im Umgang mit Baumaschinen
- Selbstständige und zuverlässige Arbeitsweise
- Teamfähigkeit und Kommunikationsstärke
- Bereitschaft zur Überstunden bei Bedarf
- Führerschein der Klasse B

Wir bieten:
- Attraktive Vergütung und Zusatzleistungen
- Langfristige Beschäftigungsperspektive in einem stabilen Unternehmen
- Abwechslungsreiche Tätigkeit in einem motivierten Team
- Weiterbildungsmöglichkeiten und Aufstiegschancen
- Moderne Arbeitsbedingungen und hochwertige Arbeitsausrüstung

Wenn Sie über die erforderlichen Qualifikationen verfügen und gerne Teil unseres engagierten Teams werden möchten, freuen wir uns auf Ihre Bewerbung! Bitte senden Sie Ihren Lebenslauf sowie relevante Zeugnisse an karriere@bauunternehmen-muenchen.de. Bei Rückfragen stehen wir Ihnen gerne telefonisch unter der Nummer 0123-456789 zur Verfügung.

Wir schätzen Vielfalt in unserem Unternehmen und begrüßen Bewerbungen aller Geschlechter."
30,"**Stellenanzeige: Allround-Mitarbeiter (m/w/d) für Handwerksbetrieb gesucht**

Unser renommierter Handwerksbetrieb in Berlin sucht zum nächstmöglichen Zeitpunkt einen motivierten Allround-Mitarbeiter (m/w/d). Als vielseitiges Unternehmen bieten wir ein breites Spektrum an Dienstleistungen in den Bereichen Elektrik, Sanitär, Heizung und Gebäudereinigung an und legen großen Wert auf Qualität, Zuverlässigkeit und Kundenzufriedenheit.

**Aufgaben:**

- Unterstützung bei Installations- und Reparaturarbeiten im Elektro-, Sanitär- und Heizungsbereich
- Durchführung von Wartungsarbeiten an Haustechnik und Gebäude
- Bedienung und Einsatz von verschiedenen Werkzeugen und Maschinen
- Allgemeine handwerkliche Tätigkeiten je nach Bedarf
- Sauberkeit und Ordnung am Arbeitsplatz sicherstellen

**Anforderungsprofil:**

- Abgeschlossene Ausbildung im handwerklichen Bereich oder vergleichbare Berufserfahrung
- Gute handwerkliche Fähigkeiten und technisches Verständnis
- Teamfähigkeit, Zuverlässigkeit und Flexibilität
- Führerschein der Klasse B von Vorteil
- Bereitschaft zur Weiterbildung und Qualifizierung

**Wir bieten:**

- Ein abwechslungsreiches und interessantes Aufgabengebiet
- Ein freundliches und kollegiales Arbeitsumfeld
- Leistungsgerechte Vergütung und attraktive Sozialleistungen
- Fort- und Weiterbildungsmöglichkeiten zur persönlichen Entwicklung
- Langfristige Perspektiven und Aufstiegsmöglichkeiten im Unternehmen

Wenn Sie gerne in einem dynamischen Team arbeiten, handwerklich begabt sind und über eine hohe Einsatzbereitschaft verfügen, freuen wir uns auf Ihre aussagekräftige Bewerbung! Bitte senden Sie Ihre Unterlagen inklusive Gehaltsvorstellung an bewerbung@handwerksfirma-berlin.de oder kontaktieren Sie uns telefonisch unter 030-123456789."
31,"Stellenanzeige:

Position: Produktionsmitarbeiter (m/w/d)

Wir suchen motivierte und zuverlässige Produktionsmitarbeiter (m/w/d), um unserem Team in der Fertigung zu verstärken. Als Produktionsmitarbeiter sind Sie verantwortlich für die Herstellung hochwertiger Produkte und die Einhaltung von Qualitätsstandards. Diese Position bietet die Möglichkeit, in einem dynamischen und wachsenden Unternehmen zu arbeiten, das sich auf die Herstellung innovativer Produkte spezialisiert hat.

Aufgaben:
- Bedienung von Produktionsmaschinen und -anlagen
- Überwachung des Fertigungsprozesses und Sicherstellung der Produktqualität
- Durchführung von Qualitätskontrollen und Dokumentation der Ergebnisse
- Unterstützung bei der Einhaltung von Sicherheits- und Hygienevorschriften
- Mitarbeit an der Optimierung von Produktionsabläufen

Anforderungen:
- Erfahrungen in der Produktion oder handwerkliche Fähigkeiten sind von Vorteil
- Teamfähigkeit und Zuverlässigkeit
- Bereitschaft zur Schichtarbeit
- Gute körperliche Verfassung
- Grundlegende Deutschkenntnisse

Wir bieten:
- Eine langfristige Beschäftigungsperspektive in einem stabilen Unternehmen
- Ein angenehmes Arbeitsumfeld und eine kollegiale Atmosphäre
- Weiterbildungsmöglichkeiten und Aufstiegschancen
- Eine leistungsgerechte Bezahlung nach Tarifvertrag
- Betriebliche Sozialleistungen wie z.B. Urlaubs- und Weihnachtsgeld

Der Job des Produktionsmitarbeiters (m/w/d) bietet eine spannende Möglichkeit, Teil eines erfolgreichen Teams zu werden und aktiv zum Unternehmenserfolg beizutragen. Wenn Sie Interesse an einer vielseitigen Tätigkeit in der Produktion haben und Einsatzbereitschaft mitbringen, freuen wir uns auf Ihre Bewerbung!

Bitte senden Sie Ihre aussagekräftige Bewerbung inklusive Lebenslauf an [Kontaktinformationen].

Wir freuen uns darauf, Sie kennenzulernen!"
32,"**Stellenanzeige: Maschinenführer (m/w/d)**

Unser Unternehmen, ein führender Hersteller von technischen Komponenten im Raum Stuttgart, sucht einen zuverlässigen und motivierten Maschinenführer (m/w/d) zur Verstärkung unseres Produktions-Teams. Diese Position ist in Vollzeit zu besetzen und bietet die Möglichkeit, in einem dynamischen Umfeld zu arbeiten und sich beruflich weiterzuentwickeln.

**Aufgaben:**
- Bedienung und Überwachung von Produktionsmaschinen und -anlagen
- Sicherstellung der Qualität der hergestellten Komponenten gemäß den Unternehmensstandards
- Durchführung von Wartungs- und Reinigungsarbeiten an den Maschinen
- Einhaltung der Arbeitssicherheits- und Qualitätsvorschriften
- Dokumentation von Produktionsprozessen und -ergebnissen

**Anforderungen:**
- Abgeschlossene Ausbildung im Bereich Metall- oder Elektrotechnik oder vergleichbare Qualifikation
- Berufserfahrung als Maschinenführer oder in einer ähnlichen Position von Vorteil
- Technisches Verständnis und handwerkliches Geschick
- Zuverlässigkeit, Teamfähigkeit und eine selbstständige Arbeitsweise
- Bereitschaft zur Schichtarbeit

**Wir bieten:**
- Eine unbefristete Festanstellung in einem zukunftsorientierten Unternehmen
- Attraktive Vergütung und Sozialleistungen
- Fortbildungsmöglichkeiten zur beruflichen Weiterentwicklung
- Ein angenehmes Betriebsklima in einem engagierten Team
- Modern ausgestatteter Arbeitsplatz

Diese Stelle richtet sich sowohl an erfahrene Fachkräfte als auch an motivierte Berufseinsteiger, die Interesse an einer vielseitigen Tätigkeit im Bereich der Produktion haben. Wenn Sie Teil unseres erfolgreichen Unternehmens werden möchten und die genannten Anforderungen erfüllen, freuen wir uns auf Ihre aussagekräftige Bewerbung!

Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen per E-Mail an recruiting@unternehmen.de. Für Rückfragen stehen wir Ihnen gerne zur Verfügung.

**Unser Unternehmen setzt sich für Chancengleichheit am Arbeitsplatz ein. Bewerbungen von Menschen mit Behinderungen oder Migrationshintergrund sind ausdrücklich erwünscht.**

*Hinweis: Diese Stellenanzeige richtet sich sowohl an Bewerber aus dem handwerklichen Bereich (blue collar) als auch an Bewerber mit technischer Ausbildung (white collar), die Interesse an einer Tätigkeit als Maschinenführer haben.*"
33,"Stellenangebot: Elektriker (m/w/d)

Für unser Unternehmen suchen wir ab sofort einen Elektriker (m/w/d) zur Verstärkung unseres Teams. Als traditioneller Mittelständler mit langjähriger Geschichte sind wir führend im Bereich der Elektroinstallationen und bieten anspruchsvolle Projekte im Industrie- und Privatkundensektor.

Aufgaben:
- Installation, Wartung und Reparatur elektrischer Anlagen
- Durchführung von Prüfungen und Messungen
- Montage von Schalt- und Steueranlagen
- Erstellung von Fehlerdiagnosen und Behebung von Störungen
- Teilnahme an Rufbereitschaftsdiensten

Anforderungen:
- Abgeschlossene Ausbildung als Elektriker, Elektroniker oder vergleichbare Qualifikation
- Fundierte Kenntnisse im Bereich der Elektrotechnik
- Erfahrung in der Installation und Instandhaltung von elektrischen Anlagen
- Teamfähigkeit, Zuverlässigkeit und selbstständige Arbeitsweise
- Führerschein der Klasse B von Vorteil

Wir bieten:
- Eine interessante und abwechslungsreiche Tätigkeit in einem zukunftsorientierten Unternehmen
- Attraktive Vergütung und Sozialleistungen
- Weiterbildungsmöglichkeiten und Aufstiegschancen
- Ein motiviertes Team und ein angenehmes Arbeitsumfeld

Blue und white collar Jobs kommen bei uns gleichermaßen zum Einsatz, um einen reibungslosen Ablauf unserer Projekte zu gewährleisten. Als Elektriker (m/w/d) haben Sie die Möglichkeit, Ihr fachliches Know-how sowie Ihre handwerklichen Fähigkeiten einzubringen und sich beruflich weiterzuentwickeln.

Wenn Sie Teil unseres erfolgreichen Teams werden möchten und eine spannende Herausforderung in einem stabilen Unternehmen suchen, freuen wir uns auf Ihre Bewerbung. Senden Sie Ihre vollständigen Unterlagen per E-Mail an bewerbung@unternehmen.de oder nutzen Sie unser Online-Bewerbungsformular auf unserer Webseite.

Wir freuen uns darauf, Sie kennenzulernen und gemeinsam die Zukunft zu gestalten!"
34,"Stellenanzeige:

Unser Unternehmen, ein führender Anbieter in der Logistikbranche, sucht zum nächstmöglichen Zeitpunkt engagierte Mitarbeiter (m/w/d) für folgende Positionen:

1. Lagermitarbeiter (m/w/d) - Blue Collar Job

Deine Aufgaben:
- Warenannahme, -kontrolle und -lagerung
- Kommissionierung von Kundenbestellungen
- Verpackung und Versandvorbereitung von Waren
- Wartung und Pflege von Lagergeräten

Dein Profil:
- Erfahrung im Lagerbereich von Vorteil, aber nicht zwingend erforderlich
- Teamfähigkeit und Zuverlässigkeit
- körperliche Belastbarkeit
- Bereitschaft zur Schichtarbeit

2. Account Manager (m/w/d) - White Collar Job

Deine Aufgaben:
- Betreuung von Bestandskunden und Akquise neuer Kunden
- Erstellung und Nachverfolgung von Angeboten
- Durchführung von Vertragsverhandlungen
- Analyse von Verkaufsdaten und Entwicklung von Vertriebsstrategien

Dein Profil:
- Abgeschlossene kaufmännische Ausbildung oder vergleichbare Qualifikation
- Vertriebserfahrung im Logistiksektor von Vorteil
- Kommunikationsstärke und Verhandlungsgeschick
- Eigeninitiative und Durchsetzungsvermögen

Wir bieten:
- Einen sicheren Arbeitsplatz in einem dynamischen und wachsenden Unternehmen
- Attraktive Vergütung und Sozialleistungen
- Vielfältige Weiterbildungsmöglichkeiten
- Ein motiviertes Team und ein angenehmes Arbeitsumfeld

Wenn du Teil eines erfolgreichen Teams werden möchtest und die Chance nutzen möchtest, dich beruflich weiterzuentwickeln, dann bewirb dich jetzt bei uns! Sende uns deine aussagekräftigen Bewerbungsunterlagen inklusive Anschreiben, Lebenslauf und Zeugnissen an careers@logistikunternehmen.de.

Wir freuen uns darauf, dich kennenzulernen und gemeinsam erfolgreich durchzustarten."
35,"Stellenanzeige:

Firma: XYZ Bauunternehmen GmbH
Position: Bauarbeiter/in
Standort: Berlin

Die XYZ Bauunternehmen GmbH ist ein etablierter Akteur in der Baubranche und bietet maßgeschneiderte Lösungen für Bauprojekte unterschiedlicher Größenordnungen. Zur Verstärkung unseres Teams in Berlin suchen wir motivierte und erfahrene Bauarbeiter/innen, die bereit sind, gemeinsam mit uns großartige Bauwerke zu realisieren.

Aufgaben:
- Durchführung von allgemeinen Bauarbeiten wie Betonieren, Mauern und Verputzen
- Montage von Bauteilen und -elementen
- Einhaltung von Sicherheitsvorschriften und Qualitätsstandards
- Unterstützung bei der Einrichtung von Baustellen und dem Transport von Materialien

Anforderungen:
- Abgeschlossene Berufsausbildung im Baubereich oder mehrjährige Berufserfahrung als Bauarbeiter/in
- Handwerkliches Geschick und technisches Verständnis
- Körperliche Belastbarkeit und Teamfähigkeit
- Zuverlässigkeit und Einsatzbereitschaft
- Gute Deutschkenntnisse

Wir bieten:
- Eine interessante und abwechslungsreiche Tätigkeit in einem dynamischen Arbeitsumfeld
- Attraktive Vergütung und Sozialleistungen
- Regelmäßige Weiterbildungsmöglichkeiten
- Teamorientierte Unternehmenskultur
- Langfristige Perspektiven und Entwicklungsmöglichkeiten

Wenn Sie Teil eines engagierten Teams werden möchten und Spaß an der Arbeit im Bauwesen haben, senden Sie uns Ihre Bewerbungsunterlagen inklusive Lebenslauf und Zeugnissen an bewerbung@xyzbau.de. Wir freuen uns darauf, Sie kennenzulernen und gemeinsam erfolgreiche Bauprojekte zu realisieren.

XYZ Bauunternehmen GmbH
Musterstraße 123
12345 Berlin

Wir sind ein Arbeitgeber, der Vielfalt schätzt und Chancengleichheit fördert. Bewerbungen von Menschen mit Behinderungen sind ausdrücklich erwünscht."
36,"Stellenanzeige:

Position: Produktionsmitarbeiter (m/w/d)

Unser Unternehmen, ein etablierter Hersteller von hochwertigen Bauprodukten, sucht aktuell motivierte Produktionsmitarbeiter (m/w/d) zur Verstärkung unseres Teams. Als Teil unseres engagierten Teams werden Sie eine entscheidende Rolle in der Herstellung und Qualitätssicherung unserer Produkte spielen.

Aufgaben und Verantwortlichkeiten:
- Bedienung von Maschinen und Anlagen in der Produktion
- Überwachung des Fertigungsprozesses und Sicherstellung der Produktqualität
- Verpackung und Kennzeichnung der hergestellten Produkte
- Durchführung von Qualitätskontrollen und Fehlerbehebungen
- Einhaltung der Arbeitssicherheits- und Hygienerichtlinien

Anforderungen:
- Erfahrung in der Produktion oder handwerkliches Geschick von Vorteil
- Teamfähigkeit und Zuverlässigkeit
- Bereitschaft zur Schichtarbeit
- Gute Deutschkenntnisse
- Körperliche Belastbarkeit

Wir bieten:
- Eine attraktive Vergütung sowie Urlaubs- und Weihnachtsgeld
- Aufstiegsmöglichkeiten innerhalb des Unternehmens
- Ein angenehmes Arbeitsumfeld in einem familiengeführten Unternehmen
- Kontinuierliche Schulungen und Weiterbildungsmöglichkeiten
- Betriebliche Altersvorsorge und Zusatzleistungen

Wenn Sie auf der Suche nach einer langfristigen beruflichen Perspektive in der Produktion sind und Freude daran haben, in einem dynamischen Team zu arbeiten, dann freuen wir uns auf Ihre Bewerbung.

Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen inklusive Lebenslauf und Zeugnissen an recruiting@unternehmen.de.

Hinweis: Diese Position richtet sich an Bewerber für blue und white collar Jobs gleichermaßen."
37,"Stellenanzeige:

Unser Unternehmen ist auf der Suche nach motivierten und talentierten Mitarbeitenden, die Teil unseres Teams werden möchten. Wir bieten vielfältige Karrieremöglichkeiten sowohl im blue-collar als auch im white-collar Bereich. Aktuell suchen wir nach Verstärkung für die folgenden Positionen:

1. Produktionsmitarbeiter (m/w/d)
Standort: Frankfurt am Main

Als Produktionsmitarbeiter bei unserem Unternehmen sind Sie Teil eines engagierten Teams, das für die Herstellung hochwertiger Produkte verantwortlich ist. Zu Ihren Aufgaben gehören das Bedienen von Maschinen, die Qualitätskontrolle der hergestellten Produkte sowie die Einhaltung von Sicherheitsvorschriften. Idealerweise verfügen Sie über eine abgeschlossene Ausbildung im Bereich Produktion oder haben bereits Erfahrung in einem produktionsnahen Umfeld gesammelt.

2. Marketing Manager (m/w/d)
Standort: München

Als Marketing Manager sind Sie für die Entwicklung und Umsetzung von Marketingstrategien zuständig, um die Bekanntheit unseres Unternehmens zu steigern und den Umsatz zu steigern. Zu Ihren Aufgaben gehören die Planung von Marketingkampagnen, die Koordination mit externen Agenturen und die Analyse von Markt- und Wettbewerbsdaten. Sie verfügen über ein abgeschlossenes Studium im Bereich Marketing oder eine vergleichbare Qualifikation sowie mehrjährige Berufserfahrung im Marketing.

Wir bieten Ihnen eine herausfordernde Tätigkeit in einem dynamischen Umfeld, attraktive Vergütungspakete und vielfältige Entwicklungsmöglichkeiten. Wenn Sie Teil unseres Teams werden möchten und Ihre Fähigkeiten in einem innovativen Unternehmen einbringen möchten, freuen wir uns auf Ihre Bewerbung.

Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen unter Angabe der Referenznummer an [Kontaktinformationen]. Wir freuen uns darauf, von Ihnen zu hören!"
38,"Stellenangebot: Technischer Support-Mitarbeiter (m/w/d)

Firma: XYZ GmbH
Standort: Berlin
Art der Anstellung: Vollzeit

Die XYZ GmbH, ein führendes Unternehmen in der Technologiebranche, sucht zum nächstmöglichen Zeitpunkt einen engagierten Technischen Support-Mitarbeiter (m/w/d) am Standort Berlin.

Aufgabenbereiche:
- Unterstützung von Kunden bei technischen Problemen per Telefon, E-Mail und Chat
- Diagnose und Lösung von Hardware- und Softwareproblemen
- Installation und Konfiguration von Systemen und Programmen
- Durchführung von Tests und Fehleranalyse
- Dokumentation und Eskalation komplexer Fälle an die Fachabteilung

Anforderungen:
- Abgeschlossene Ausbildung im IT-Bereich oder vergleichbare Berufserfahrung
- Gute Kenntnisse in Windows- und Mac-Betriebssystemen
- Erfahrung im Kundensupport oder technischen Helpdesk
- Teamfähigkeit und Kommunikationsstärke
- Eigenverantwortliche und strukturierte Arbeitsweise

Was wir bieten:
- Attraktives Gehalt und Prämien
- Betriebliche Altersvorsorge
- Weiterbildungsmöglichkeiten und Entwicklungsperspektiven
- Dynamisches und innovatives Arbeitsumfeld
- Flache Hierarchien und offene Kommunikation

Wir suchen nach motivierten Mitarbeitern, die Freude am Umgang mit Technologie haben und gerne in einem teamorientierten Umfeld arbeiten. Wenn Sie sich angesprochen fühlen und die genannten Anforderungen erfüllen, freuen wir uns auf Ihre Bewerbung.

Bitte senden Sie Ihre vollständigen Bewerbungsunterlagen, inklusive Anschreiben, Lebenslauf und Zeugnissen, per E-Mail an recruiting@xyz.com. Wir freuen uns darauf, Sie in unserem Team willkommen zu heißen!"
39,"**Stellenanzeige: Projektmanager (m/w/d) für unser Bauprojektteam gesucht**

Unser renommiertes Bauunternehmen ist auf der Suche nach einem engagierten und erfahrenen Projektmanager (m/w/d), der unser Bauprojektteam verstärkt. Wenn du nach einer spannenden Herausforderung in der Baubranche suchst und über fundierte Kenntnisse in der Bauprojektmanagement verfügst, dann bewirb dich jetzt!

**Ihre Aufgaben:**
- Planung, Steuerung und Überwachung von Bauprojekten
- Sicherstellung der Einhaltung von Budget- und Zeitvorgaben
- Koordination aller Projektbeteiligten, einschließlich Subunternehmer und Lieferanten
- Durchführung von regelmäßigen Baustellenbesprechungen
- Gewährleistung der Qualitätssicherung und Arbeitssicherheit auf der Baustelle
- Erstellung von Reportings und Dokumentationen für die Projektleitung

**Ihr Profil:**
- Abgeschlossenes Studium im Bereich Bauingenieurwesen oder eine vergleichbare Ausbildung im Bauwesen
- Mehrjährige Berufserfahrung im Bauprojektmanagement, idealerweise in der Bauindustrie
- Fundierte Kenntnisse in der Bauabwicklung, Baukalkulation und Bauvertragsrecht
- Sicherer Umgang mit MS Office und gängiger Projektmanagementsoftware
- Teamfähigkeit, Durchsetzungsvermögen und Kommunikationsstärke
- Reisebereitschaft und fließende Deutschkenntnisse

**Wir bieten:**
- Spannende und herausfordernde Projekte im Bereich Hoch- und Tiefbau
- Attraktive Vergütung und Zusatzleistungen
- Angenehmes Arbeitsumfeld in einem dynamischen Team
- Weiterbildungsmöglichkeiten und Karriereperspektiven
- Moderner Arbeitsplatz mit flexiblen Arbeitszeiten

**Über uns:**
Unser Bauunternehmen ist seit über 50 Jahren erfolgreich in der Baubranche tätig und steht für Qualität, Zuverlässigkeit und Innovation. Wir legen großen Wert auf zufriedene und motivierte Mitarbeiter, die gemeinsam an der Realisierung anspruchsvoller Bauprojekte arbeiten.

Wenn Sie Teil unseres Teams werden möchten und die Chance suchen, Ihre Expertise in herausfordernden Bauprojekten einzubringen, dann senden Sie uns Ihre aussagekräftige Bewerbung inklusive Lebenslauf und Gehaltsvorstellung an [Kontaktinformation].

Wir freuen uns darauf, Sie kennenzulernen und gemeinsam erfolgreich zu sein!"
40,"Stellenanzeige: Lift- und Rolltreppenmonteur (m/w/d)

Willkommen bei unserer renommierten Firma, einem führenden Unternehmen in der Aufzugs- und Rolltreppenbranche mit über 50 Jahren Erfahrung in der Branche. Zur Verstärkung unseres Teams suchen wir einen engagierten und erfahrenen Lift- und Rolltreppenmonteur (m/w/d) für den Raum Berlin.

Deine Aufgaben umfassen die Installation, Wartung und Reparatur von Aufzügen und Rolltreppen in verschiedenen Gebäuden und Anlagen, einschließlich Bürokomplexen, Einkaufszentren und Wohnhäusern. Als Lift- und Rolltreppenmonteur wirst du für die Fehlerbehebung, Inspektionen und Instandhaltungsarbeiten verantwortlich sein, um sicherzustellen, dass alle Anlagen ordnungsgemäß funktionieren und den Sicherheitsvorschriften entsprechen.

Idealerweise verfügst du über eine abgeschlossene Ausbildung im Bereich Elektrotechnik, Mechatronik oder einem verwandten Fachgebiet sowie einschlägige Berufserfahrung in der Aufzugs- und Rolltreppenbranche. Du solltest über fundierte Kenntnisse in der Installation, Instandhaltung und Reparatur von Aufzügen und Rolltreppen verfügen. Ein hohes Maß an technischem Verständnis, handwerklichem Geschick und Zuverlässigkeit sind für diese Position unerlässlich.

Unser Unternehmen bietet nicht nur eine spannende und abwechslungsreiche Tätigkeit in einem dynamischen Arbeitsumfeld, sondern auch attraktive Sozialleistungen, Weiterbildungsmöglichkeiten und die Chance, sich beruflich weiterzuentwickeln. Du wirst Teil eines motivierten Teams von Fachleuten sein, die gemeinsam daran arbeiten, innovative Lösungen für unsere Kunden zu entwickeln und umzusetzen.

Wenn du bereit bist, deine Karriere in der Aufzugs- und Rolltreppenbranche voranzutreiben und Teil eines erfolgreichen und zukunftsorientierten Unternehmens zu werden, freuen wir uns auf deine Bewerbung. Bitte sende uns deinen Lebenslauf sowie ein Anschreiben, in dem du uns über deine Motivation und Qualifikationen für die Position des Lift- und Rolltreppenmonteurs informierst.

Bewirb dich jetzt und werde Teil unseres Teams!"
